Name	X	Y
S4.recal.table	12	12.0
S4.recal.table	13	11.0
S4.recal.table	14	10.0
S4.recal.table	15	13.0
S4.recal.table	16	16.0
S4.recal.table	17	17.0
S4.recal.table	18	18.0
S4.recal.table	19	19.0
S4.recal.table	20	20.0
S4.recal.table	21	21.0
S4.recal.table	24	21.0
S4.recal.table	25	25.0
S4.recal.table	26	24.0
S4.recal.table	27	27.0
S4.recal.table	28	28.0
S4.recal.table	29	29.0
S4.recal.table	30	30.0
S4.recal.table	31	31.0
S4.recal.table	32	32.0
S4.recal.table	33	32.0
S4.recal.table	34	33.0
S4.recal.table	35	34.0
S4.recal.table	36	36.0
S4.recal.table	37	36.0
S4.recal.table	38	35.0
S4.recal.table	39	36.0
S4.recal.table	40	40.0
